,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,1,7,9,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,3,15,34,23,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,4,49,83,63,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,36,136,215,240,132,60,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,57,247,558,631,434,199,74,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,145,625,1337,1646,1217,640,288,60,10,3,0,0,0,0,0,0,0,0,0,0,0,0
16,0,261,1402,3107,4005,3436,1812,749,247,44,17,2,2,0,0,0,0,0,0,0,0,0,0
17,0,485,2946,6872,9354,8219,5003,2229,709,193,38,6,0,0,0,0,0,0,0,0,0,0,0
18,0,945,5547,14338,20661,19523,12923,5982,2140,533,119,15,3,0,0,0,0,0,0,0,0,0,0
19,0,1679,10511,28024,43335,43794,30286,15268,5637,1612,403,59,10,2,0,0,0,0,0,0,0,0,0
20,0,2970,19050,53956,87562,92518,68392,36543,14660,4508,1060,208,40,4,2,0,0,0,0,0,0,0,0
21,0,4938,32967,97078,167806,187219,145617,81628,34852,11327,2890,584,65,12,0,0,0,0,0,0,0,0,0
22,0,7855,55810,172299,310422,364879,295868,175647,78173,27224,7391,1600,294,57,2,0,0,0,0,0,0,0,0
23,0,12398,91360,294118,552165,676464,577551,359222,167548,61136,17405,3983,722,117,19,1,0,0,0,0,0,0,0
24,0,19113,145622,489027,956283,1216816,1081487,701904,344033,130725,39190,9321,1897,317,43,3,0,0,0,0,0,0,0
25,0,28344,226199,784933,1592210,2113455,1958254,1321795,674970,267296,83984,21394,4457,801,98,19,1,0,0,0,0,0,0
26,0,41939,341848,1227684,2582525,3551375,3415101,2398345,1270920,524406,171558,45368,9834,1767,261,48,1,0,0,0,0,0,0
27,0,60521,503089,1876085,4073484,5798715,5771635,4203590,2313909,990116,336888,92673,21008,3899,570,96,11,1,0,0,0,0,0
28,0,83956,727713,2793276,6264907,9209162,9471650,7127807,4057131,1793384,632816,180566,42197,8364,1323,179,27,0,0,0,0,0,0
29,0,115623,1031173,4069871,9395293,14235498,15111745,11735085,6891226,3149585,1145788,338305,82137,16583,2856,401,69,4,3,0,0,0,0
30,0,157577,1430115,5796433,13774172,21489334,23471943,18773893,11355414,5348567,2004227,608345,152305,31529,5613,842,95,14,3,0,0,0,0
31,0,208803,1948832,8102780,19769602,31676035,35562704,29228064,18189269,8802636,3395663,1061306,273967,58916,10505,1593,232,24,2,1,0,0,0
32,0,271864,2604663,11103204,27787213,45677606,52604825,44381856,28346921,14092733,5578648,1789347,472339,105036,19548,3118,442,57,1,1,0,0,0
